,T,s,S,R3,z,Z,R2,E,N
cell_310,True,True,True,False,True,True,False,False,True
cell_315,True,True,True,True,False,False,False,False,True
cell_318,True,False,True,True,False,True,False,False,True
cell_321,True,False,True,True,False,False,False,False,True
cell_322,True,False,False,True,False,False,False,False,True
cell_324,False,True,True,True,False,False,True,True,False
cell_325,False,True,True,True,True,False,True,True,False
cell_326,False,False,True,False,True,False,True,True,False
cell_327,True,False,True,True,True,False,True,True,False
cell_328,False,False,True,True,True,False,True,True,False
cell_331,False,False,True,False,True,True,True,True,False
cell_332,True,False,True,True,True,True,True,True,False
cell_335,False,True,False,False,True,False,False,True,True
cell_336,False,True,False,False,True,False,True,True,True
cell_337,False,False,False,True,True,False,False,True,True
cell_342,False,False,True,False,True,False,False,True,True
cell_343,False,False,True,True,True,False,False,True,True
cell_344,False,False,False,True,True,True,True,True,False
cell_345,False,False,False,False,True,False,True,True,False
cell_347,False,False,False,True,True,False,True,True,False
cell_350,False,False,False,False,True,True,True,True,False
cell_354,False,True,True,False,False,False,False,False,True
cell_355,False,True,True,False,True,False,False,False,True
cell_356,False,False,False,False,True,False,True,False,True
cell_357,False,True,False,False,True,False,True,False,True
cell_359,False,True,False,True,True,False,False,False,True
cell_360,False,True,False,True,False,True,False,False,True
cell_361,False,True,False,True,True,True,False,False,True
cell_362,False,True,False,True,True,True,True,False,True
cell_365,False,False,False,True,False,True,True,False,False
cell_368,True,False,False,True,False,False,False,False,False
cell_370,False,False,False,True,False,False,False,False,False
cell_374,False,False,True,False,True,True,True,False,False
cell_375,False,True,True,False,False,True,True,False,False
cell_376,False,True,False,False,False,True,True,False,False
cell_378,False,True,False,True,False,True,False,False,False
cell_380,False,False,False,False,False,True,False,False,False
cell_381,False,False,False,False,False,True,True,False,False
cell_384,True,True,False,False,False,False,False,True,True
cell_385,True,False,False,False,False,False,False,True,True
cell_387,True,False,False,False,False,False,True,True,True
cell_388,True,False,False,False,True,True,True,True,True
cell_389,True,False,False,False,True,True,False,True,True
cell_392,False,False,False,False,True,True,True,True,True
cell_394,False,True,True,True,True,True,False,False,True
cell_397,False,True,True,True,False,False,True,False,True
cell_400,False,True,True,False,True,False,True,False,True
cell_402,False,True,True,True,True,False,True,False,True
cell_404,True,True,False,True,False,True,False,True,True
cell_409,True,True,False,False,False,True,False,True,True
cell_411,True,True,True,False,False,False,False,True,False
cell_413,True,True,True,True,False,False,False,True,False
cell_419,False,True,False,True,False,False,True,False,True
cell_426,True,True,False,False,True,False,False,False,False
cell_431,False,False,True,True,True,True,True,False,False
cell_434,False,True,True,True,True,True,True,False,False
cell_435,True,False,True,False,True,False,False,False,False
cell_436,True,True,True,False,True,False,True,False,False
cell_437,True,False,False,False,True,False,False,False,False
cell_438,True,False,False,False,True,False,True,False,False
cell_439,True,False,False,False,True,False,True,False,True
cell_441,True,False,False,True,True,False,False,False,False
cell_444,True,False,False,True,True,False,False,False,True
cell_445,False,False,True,True,True,False,False,False,False
cell_446,False,True,True,True,True,False,False,False,False
cell_447,False,True,True,False,True,False,True,False,False
cell_452,True,True,True,True,True,True,True,False,False
cell_453,False,True,True,True,True,True,False,False,False
cell_456,True,True,True,False,True,True,True,False,False
cell_462,True,True,False,False,True,True,True,False,False
cell_464,True,True,False,True,True,True,True,False,False
cell_466,True,True,False,True,False,False,False,False,False
cell_469,True,True,False,True,False,True,True,False,False
cell_476,False,True,True,True,True,False,True,True,True
cell_477,False,False,True,False,True,False,True,True,True
cell_478,False,False,True,False,True,True,True,True,True
cell_484,False,False,False,False,True,True,True,False,True
cell_486,True,False,False,True,False,True,False,False,False
cell_494,True,False,False,False,False,True,False,False,False
cell_495,True,False,False,False,False,True,False,False,True
cell_496,True,True,False,False,False,True,False,False,True
cell_502,True,True,False,True,False,True,False,False,True
cell_506,False,False,False,True,False,False,True,False,True
cell_508,False,False,False,True,False,True,True,False,True
cell_509,False,True,False,False,False,True,True,False,True
cell_510,False,True,False,True,False,True,True,False,True
cell_511,True,True,False,True,False,True,True,False,True
cell_512,True,False,False,True,False,True,True,False,True
cell_514,False,False,False,True,True,True,True,False,True
cell_518,True,True,False,False,False,False,True,False,True
cell_526,False,False,False,False,False,False,False,True,False
cell_528,True,False,False,True,True,False,False,True,False
cell_536,True,True,True,False,True,False,True,True,False
cell_538,True,True,True,False,False,True,False,True,False
cell_541,False,True,True,False,False,True,False,True,False
cell_542,False,True,True,False,False,True,False,False,False
cell_549,False,False,True,False,True,False,False,True,False
cell_550,False,False,True,False,False,False,True,True,False
cell_554,False,True,True,False,False,False,False,True,False
cell_556,True,False,False,False,False,True,True,True,False
cell_557,True,True,False,False,True,True,True,True,False
cell_560,True,True,False,True,True,True,False,True,False
cell_569,False,True,False,False,True,True,True,True,False
cell_575,True,True,False,False,False,True,False,True,False
cell_579,False,True,True,False,True,True,True,False,False
cell_580,False,False,False,True,True,True,True,False,False
cell_585,False,True,True,True,True,False,True,False,False
cell_593,True,False,False,False,False,True,True,True,True
cell_598,True,False,False,False,False,False,False,False,True
cell_599,True,True,False,True,True,True,False,False,True
cell_606,False,False,False,True,False,True,True,True,True
cell_607,False,False,False,False,False,True,True,True,True
cell_610,False,False,False,False,False,True,False,True,True
cell_612,True,False,False,False,False,True,False,True,True
cell_616,True,False,False,False,False,True,False,True,False
cell_627,True,False,False,False,True,True,False,True,False
cell_633,True,False,False,True,False,True,False,True,False
cell_637,False,True,True,False,False,False,False,False,False
cell_638,False,True,True,False,True,False,False,False,False
cell_644,False,False,True,True,True,False,True,False,False
cell_646,False,False,True,True,True,False,False,False,True
cell_647,True,False,True,False,True,True,True,False,True
cell_648,True,False,True,True,True,True,False,False,True
cell_653,True,False,True,False,True,True,False,True,True
cell_654,True,False,True,True,True,False,False,True,True
cell_655,True,False,True,True,True,True,False,True,True
cell_656,True,True,True,True,True,True,False,True,True
cell_658,True,True,False,True,True,False,True,False,True
cell_659,True,True,True,True,True,False,True,False,True
cell_661,False,True,True,True,True,False,False,False,True
cell_667,True,True,False,False,True,False,True,True,False
cell_669,True,True,False,False,True,True,False,True,False
cell_678,False,True,True,False,True,False,True,True,False
cell_684,False,False,True,False,False,False,False,True,False
cell_687,False,True,False,True,False,True,True,False,False
cell_697,True,True,False,True,True,False,False,False,False
cell_699,True,True,False,False,False,True,False,False,False
cell_700,True,True,False,True,True,True,False,False,False
cell_706,False,True,False,False,False,True,False,False,False
cell_719,False,True,True,False,True,False,False,True,False
cell_728,True,False,False,True,True,True,False,True,True
cell_729,True,False,False,False,True,False,False,True,True
cell_733,False,True,False,True,True,True,True,True,True
cell_734,True,True,False,False,True,False,True,True,True
cell_739,True,True,True,False,False,False,False,False,False
cell_758,True,True,True,True,False,True,True,True,False
cell_759,True,True,True,True,False,True,False,True,False
cell_761,True,True,False,True,False,True,False,True,False
cell_771,False,True,True,True,False,False,False,True,False
cell_778,False,True,True,True,False,False,False,False,True
cell_780,False,True,True,True,False,True,False,False,True
cell_794,False,False,True,True,True,True,False,False,False
cell_800,False,False,True,False,False,False,False,False,False
cell_801,False,False,True,False,False,False,True,False,False
cell_805,False,False,True,False,False,False,True,False,True
cell_807,False,True,True,False,False,False,True,False,False
cell_808,False,False,True,True,False,False,False,False,False
cell_811,False,False,True,True,False,False,True,False,False
cell_829,False,True,False,True,True,True,False,True,True
cell_838,False,True,False,False,True,True,True,True,True
cell_843,False,True,False,False,False,False,False,True,True
cell_851,False,True,False,False,True,True,True,False,True
cell_853,False,True,False,False,False,False,False,False,True
cell_869,False,False,False,True,True,True,False,False,True
cell_873,False,True,False,True,True,True,True,False,False
cell_882,True,False,False,True,True,True,True,True,True
cell_891,True,False,True,False,True,True,True,True,False
cell_893,True,True,True,True,True,True,True,True,False
cell_895,True,True,True,False,True,True,True,True,False
cell_899,False,True,False,True,False,False,False,False,False
cell_902,True,True,False,True,True,False,True,False,False
cell_911,True,False,False,True,True,True,True,True,False
cell_914,False,False,False,False,True,True,False,True,False
cell_918,True,False,True,False,True,True,False,True,False
cell_931,False,True,True,True,False,True,True,False,False
cell_938,True,False,False,True,False,True,True,False,False
cell_962,True,False,False,True,False,True,False,False,True
cell_971,True,False,True,True,True,False,False,False,False
cell_976,False,False,True,False,False,True,True,False,False
cell_977,True,False,False,False,False,False,False,False,False
cell_990,True,True,False,False,False,False,False,False,True
cell_991,True,False,False,False,True,False,False,False,True
cell_997,True,True,True,False,True,False,False,False,True
cell_1000,False,False,True,False,True,True,True,False,True
cell_1013,True,True,True,False,False,False,True,True,False
cell_1015,False,False,True,False,False,True,True,True,False
cell_1016,False,True,True,False,False,True,True,True,False
cell_1023,False,False,True,False,True,False,False,False,False
cell_1034,True,True,True,True,False,False,False,False,False
cell_1038,True,False,True,True,True,False,False,False,True
cell_1041,False,False,True,True,False,True,True,True,False
cell_1044,True,False,True,True,False,True,False,True,False
cell_1045,False,False,False,True,False,True,False,True,False
cell_1052,True,True,True,True,False,False,True,False,True
cell_1061,False,True,False,True,True,False,True,False,False
cell_1066,False,True,False,True,True,False,False,False,False
cell_1067,False,True,False,False,True,True,False,False,False
cell_1068,False,True,False,False,True,True,False,False,True
cell_1076,False,True,True,False,True,True,True,False,True
cell_1079,True,True,True,False,True,True,True,True,True
cell_1080,True,True,True,True,True,True,True,True,True
cell_1082,True,False,False,True,True,True,False,False,True
cell_1085,True,False,False,True,True,True,True,False,True
cell_1090,True,False,False,True,False,False,True,False,True
cell_1100,True,False,True,False,False,True,False,True,False
cell_1122,True,False,True,True,False,True,True,True,False
cell_1126,True,True,True,True,True,False,True,True,False
cell_1130,True,False,True,True,True,False,False,True,False
cell_1133,False,False,False,False,True,False,False,False,False
cell_1138,True,True,True,False,False,False,True,False,False
cell_1143,False,False,True,False,True,False,True,False,False
cell_1164,False,False,False,True,False,True,False,False,False
cell_1165,False,True,True,True,False,False,False,False,False
cell_1173,False,False,True,False,True,False,True,False,True
cell_1174,False,False,True,False,True,False,False,False,True
cell_1184,False,True,True,True,False,True,False,True,True
cell_1202,False,True,True,True,False,True,True,True,False
cell_1203,False,True,False,True,False,True,False,True,False
cell_1206,False,True,False,True,True,True,True,True,False
cell_1216,True,True,True,False,True,False,False,False,False
cell_1224,False,False,True,True,True,True,True,True,True
cell_1227,False,False,True,True,True,False,True,True,True
cell_1229,False,False,True,False,True,True,False,True,True
cell_1232,False,True,True,False,True,True,True,True,True
cell_1237,True,True,True,False,True,True,False,True,True
cell_1243,False,False,True,True,False,False,True,True,True
cell_1247,False,False,True,False,False,False,True,True,True
cell_1249,False,False,True,False,False,False,False,True,True
cell_1258,True,True,False,False,False,False,True,True,False
cell_1263,False,True,False,False,False,True,False,True,True
cell_1267,False,True,False,True,True,False,True,True,True
cell_1273,True,False,True,True,True,True,True,False,True
cell_1275,True,False,True,True,False,True,False,True,True
cell_1277,False,False,True,True,True,True,False,True,True
cell_1299,True,True,True,True,False,False,True,True,False
cell_1305,False,False,False,True,False,True,False,True,True
cell_1306,True,False,False,True,True,False,False,True,True
cell_1308,False,True,False,True,True,False,False,True,True
cell_1313,False,False,True,True,False,True,False,False,False
cell_1321,False,False,False,False,True,True,True,False,False
cell_1326,True,True,False,False,True,False,False,True,False
cell_1338,True,True,False,False,True,True,False,False,False
cell_1353,True,False,True,True,False,True,True,True,True
cell_1357,False,True,True,True,False,True,False,True,False
cell_1366,False,True,True,False,True,True,False,True,True
cell_1375,False,True,True,False,False,True,True,False,True
cell_1377,True,True,True,True,False,True,True,False,True
cell_1385,True,True,False,True,True,True,True,False,True
cell_1393,True,True,True,False,False,False,True,False,True
cell_1394,False,True,False,True,False,True,True,True,True
cell_1395,False,False,False,False,False,True,True,True,False
cell_1397,False,True,True,False,True,True,True,True,False
cell_1398,False,True,True,True,True,True,True,True,False
cell_1419,False,True,False,True,False,False,False,True,False
cell_1423,False,True,True,False,False,False,True,True,False
