,Time
cell_644,0.0509005
cell_645,0.051689338
cell_646,0.05140453
cell_647,0.12284463
cell_648,0.13010976
cell_649,0.10300944
cell_650,0.10672477
cell_651,0.09135146
cell_652,0.095882304
cell_653,0.08350936
cell_654,0.07683041
cell_655,0.06389155
cell_656,0.07029810000000002
cell_657,0.13573503
cell_658,0.11993197
cell_659,0.114819475
cell_660,0.106033474
cell_661,0.093014665
cell_662,0.08636546
cell_663,0.087441966
cell_664,0.07879407
cell_665,0.07484284
cell_666,0.071844615
cell_667,0.029965935
cell_668,0.018143347
cell_669,0.023793368
cell_670,0.030456197999999997
cell_671,0.0395911
cell_672,0.025431977999999997
cell_673,0.042283304
cell_674,0.03009009
cell_675,0.04270342
cell_676,0.041084774
cell_677,0.024525112999999998
cell_678,0.03284872
cell_679,0.068257704
cell_680,0.07021215
cell_681,0.08487225
cell_682,0.08893507
cell_683,0.095367976
cell_684,0.102586165
cell_685,0.11681804
cell_686,0.11511398
cell_687,0.123205125
cell_688,0.12408543400000001
cell_689,0.120717116
cell_690,0.11478896
cell_691,0.11076145
cell_692,0.10859597
cell_693,0.10879363
cell_694,0.10811306
cell_695,0.10755439
cell_696,0.1101289
cell_697,0.13668767
cell_698,0.12832633
cell_699,0.11039663
cell_700,0.118253715
cell_701,0.08680312
cell_702,0.07619164
cell_703,0.07081021
cell_704,0.07197012
cell_705,0.06829264
cell_706,0.07237827
cell_707,0.1463679
cell_708,0.14114463
cell_709,0.1409268
cell_710,0.12691897
cell_711,0.11922099
cell_712,0.12779953
cell_713,0.12877862
cell_714,0.11281485
cell_715,0.1121114
cell_716,0.10983796
cell_717,0.1055367
cell_718,0.14857808
cell_719,0.13837616
cell_720,0.143805
cell_721,0.13656117
cell_722,0.13913348
cell_723,0.13913920000000002
cell_724,0.14226316
cell_725,0.14671516
cell_726,0.15371068
cell_727,0.15014057
cell_728,0.06884757
cell_729,0.057279866
cell_730,0.03411942
cell_731,0.021927942000000002
cell_732,0.025459388
cell_733,0.022106112999999997
cell_734,0.03132731
cell_735,0.04019624
cell_736,0.051707607
cell_737,0.058009114
cell_738,0.12183276
cell_739,0.11604994
cell_740,0.078054674
cell_741,0.06233888
cell_742,0.071954444
cell_743,0.06450402
cell_744,0.05502487
cell_745,0.056482675999999996
cell_746,0.064077325
cell_747,0.074110515
cell_748,0.028442537
cell_749,0.02798626
cell_750,0.03595555
cell_751,0.03120918
cell_752,0.023461776
cell_753,0.031426195
cell_754,0.029902281
cell_755,0.03273771
cell_756,0.030753428
cell_757,0.029240153999999997
cell_758,0.11783907
cell_759,0.13448551
cell_760,0.14339554
cell_761,0.14935833
cell_762,0.15736835
cell_763,0.15228072
cell_764,0.15866286
cell_765,0.15704493
cell_766,0.15792812
cell_767,0.15346885
cell_768,0.09738056
cell_769,0.101848714
cell_770,0.09917623
cell_771,0.10200970599999999
cell_772,0.10408342
cell_773,0.10877756
cell_774,0.10659074
cell_775,0.11375798
cell_776,0.121038735
cell_777,0.10988032
cell_778,0.102469824
cell_779,0.10109101
cell_780,0.100285366
cell_781,0.09991249
cell_782,0.10736613
cell_783,0.11618942
cell_784,0.12173980000000001
cell_785,0.118758574
cell_786,0.125755
cell_787,0.12275489
cell_788,0.6123291000000001
cell_789,0.62413573
cell_790,0.62461716
cell_791,0.59106225
cell_792,0.58507854
cell_793,0.5685239000000001
cell_794,0.5724281
cell_795,0.5575891
cell_796,0.5044697
cell_797,0.50852793
cell_798,0.13046847
cell_799,0.11902853
cell_800,0.11256881
cell_801,0.11001437
cell_802,0.10910568400000001
cell_803,0.10557136
cell_804,0.09988342
cell_805,0.104771204
cell_806,0.101340234
cell_807,0.097657494
cell_808,0.12196269
cell_809,0.11761133
cell_810,0.11657239
cell_811,0.117702395
cell_812,0.10286162
cell_813,0.09982605
cell_814,0.08884276
cell_815,0.080460355
cell_816,0.07031868
cell_817,0.07264172
cell_818,0.066419
cell_819,0.08815492
cell_820,0.0812324
cell_821,0.07512719999999999
cell_822,0.06400138
cell_823,0.06310088
cell_824,0.049491565999999994
cell_825,0.0500953
cell_826,0.051473733
cell_827,0.054397758
cell_828,0.053316902
cell_829,0.14629126
cell_830,0.14247338
cell_831,0.13328512
cell_832,0.1286224
cell_833,0.12780406
cell_834,0.12189924
cell_835,0.110471286
cell_836,0.09927364400000001
cell_837,0.080426484
cell_838,0.07517084
cell_839,0.051943492
cell_840,0.052082118
cell_841,0.053440567
cell_842,0.044683147
cell_843,0.03759327
cell_844,0.03931405
cell_845,0.044132322
cell_846,0.038617156
cell_847,0.03973074
cell_848,0.034121446
cell_849,0.111460604
cell_850,0.11407756
cell_851,0.11280106
cell_852,0.12352725
cell_853,0.12280609
cell_854,0.12576571
cell_855,0.131431
cell_856,0.13152413
cell_857,0.13765705
cell_858,0.14719896
cell_859,0.060462978
cell_860,0.05029559
cell_861,0.052872892000000005
cell_862,0.043674998
cell_863,0.04580428
cell_864,0.053796052999999996
cell_865,0.060572457
cell_866,0.070851475
cell_867,0.07395535
cell_868,0.07771161
cell_869,0.110853896
cell_870,0.11071871
cell_871,0.10007754
cell_872,0.09542966
cell_873,0.09017897400000001
cell_874,0.08471914400000001
cell_875,0.08974385
cell_876,0.09043949
cell_877,0.09085608
cell_878,0.09294730400000001
cell_879,0.024974797000000003
cell_880,0.023577007999999997
cell_881,0.0164446
cell_882,0.016211588
cell_883,0.019961398
cell_884,0.013027344
cell_885,0.027035648
cell_886,0.021363523
cell_887,0.034802942999999996
cell_888,0.03786709
cell_889,0.030857918999999998
cell_890,0.024253786
cell_891,0.031572204
cell_892,0.028562294
cell_893,0.038621604
cell_894,0.030403724
cell_895,0.032134105
cell_896,0.035595134
cell_897,0.031406738
cell_898,0.03732908
cell_899,0.06184385
cell_900,0.070133105
cell_901,0.057881877000000005
cell_902,0.06933001400000001
cell_903,0.06848314400000001
cell_904,0.07488687
cell_905,0.09491904
cell_906,0.094168544
cell_907,0.09471934
cell_908,0.09937549400000001
cell_909,0.062757425
cell_910,0.058999624
cell_911,0.05552327
cell_912,0.056607645
cell_913,0.057041194
cell_914,0.059259154
cell_915,0.06288358
cell_916,0.07531241
cell_917,0.08128428
cell_918,0.08280180000000001
cell_919,0.08390586
cell_920,0.12432023
cell_921,0.13324957
cell_922,0.13651401
cell_923,0.12293631599999999
cell_924,0.10472039
cell_925,0.09707296
cell_926,0.081690766
cell_927,0.08300930000000001
cell_928,0.07887881
cell_929,0.06528534
cell_930,0.09750793
cell_931,0.09688859400000001
cell_932,0.102465406
cell_933,0.10306524
cell_934,0.1042469
cell_935,0.11048133
cell_936,0.11185919
cell_937,0.121367976
cell_938,0.131002
cell_939,0.13225639
cell_940,0.047590654
cell_941,0.048682342999999996
cell_942,0.047383197
cell_943,0.054637697
cell_944,0.04915979
cell_945,0.056310400000000004
cell_946,0.057496455
cell_947,0.05202794
cell_948,0.056132275999999995
cell_949,0.058910403
cell_950,0.12808217
cell_951,0.12047473
cell_952,0.13098894
cell_953,0.11598896
cell_954,0.11139201
cell_955,0.10102529
cell_956,0.08032929
cell_957,0.07207087400000001
cell_958,0.05924558
cell_959,0.05710826
cell_960,0.14790392
cell_961,0.15097304
cell_962,0.14311862
cell_963,0.11771292
cell_964,0.1288578
cell_965,0.12213727
cell_966,0.092581674
cell_967,0.085178874
cell_968,0.07623743
cell_969,0.05309179
cell_970,0.011752106000000002
cell_971,0.039213266000000004
cell_972,0.052584708
cell_973,0.06800292
cell_974,0.07748884
cell_975,0.08029309
cell_976,0.08822131
cell_977,0.106715776
cell_978,0.11454592
cell_979,0.10690197
cell_980,0.16393483
cell_981,0.16149467
cell_982,0.14426087
cell_983,0.14002925
cell_984,0.13177991
cell_985,0.13871387
cell_986,0.14384028
cell_987,0.14648621
cell_988,0.13463609
cell_989,0.13227372
cell_990,0.15554468
cell_991,0.13655799999999998
cell_992,0.13446759
cell_993,0.12639259
cell_994,0.1487795
cell_995,0.12323523
cell_996,0.12320134
cell_997,0.13002034
cell_998,0.121701255
cell_999,0.11658862
cell_1000,0.11194327
cell_1001,0.11538094
cell_1002,0.11854264
cell_1003,0.12254525
cell_1004,0.121112645
cell_1005,0.1318213
cell_1006,0.12068064
cell_1007,0.12190322599999999
cell_1008,0.12498483
cell_1009,0.12487903
cell_1010,0.10566841
cell_1011,0.091115154
cell_1012,0.08771657
cell_1013,0.06534158400000001
cell_1014,0.0654586
cell_1015,0.058699
cell_1016,0.046758607
cell_1017,0.04629435
cell_1018,0.042950515
cell_1019,0.04081561
cell_1020,0.04054744
cell_1021,0.07908222
cell_1022,0.070770636
cell_1023,0.06293879
cell_1024,0.04946199
cell_1025,0.03938232
cell_1026,0.032935146
cell_1027,0.034510754
cell_1028,0.03613909
cell_1029,0.038880046
cell_1030,0.040673275
cell_1031,0.13030559
cell_1032,0.12398752
cell_1033,0.124038585
cell_1034,0.10188828
cell_1035,0.09294226
cell_1036,0.08418526
cell_1037,0.07877642
cell_1038,0.07781859
cell_1039,0.07875884
cell_1040,0.07568963
cell_1041,0.12941824
cell_1042,0.13207875
cell_1043,0.12671813
cell_1044,0.12700172
cell_1045,0.11932696
cell_1046,0.11634546
cell_1047,0.11632650000000001
cell_1048,0.11054107
cell_1049,0.10528593
cell_1050,0.10712466400000001
cell_1051,0.06952666
cell_1052,0.061108533
cell_1053,0.060171705
cell_1054,0.060324255
cell_1055,0.055146147
cell_1056,0.050649516
cell_1057,0.049429335
cell_1058,0.0515327
cell_1059,0.05282466
cell_1060,0.040739868
cell_1061,0.15961108
cell_1062,0.13860384
cell_1063,0.13253994
cell_1064,0.1273031
cell_1065,0.12308197
cell_1066,0.11462583
cell_1067,0.12683946
cell_1068,0.124026716
cell_1069,0.12735727
cell_1070,0.1273272
cell_1071,0.06623246
cell_1072,0.07131271
cell_1073,0.06877839
cell_1074,0.07271218
cell_1075,0.07520694
cell_1076,0.08513563
cell_1077,0.09330156
cell_1078,0.09633083
cell_1079,0.10271168
cell_1080,0.09897873
cell_1081,0.20752008
cell_1082,0.21488404
cell_1083,0.21284194
cell_1084,0.21389346
cell_1085,0.19210277
cell_1086,0.19231595
cell_1087,0.18947993
cell_1088,0.18233934
cell_1089,0.17830873
cell_1090,0.19427182
cell_1091,0.14193201
cell_1092,0.13730055
cell_1093,0.12977031
cell_1094,0.13921116
cell_1095,0.13915168
cell_1096,0.13886705
cell_1097,0.1400404
cell_1098,0.1437915
cell_1099,0.13600420000000002
cell_1100,0.13809586
cell_1101,0.0925954
cell_1102,0.0956477
cell_1103,0.09828593599999999
cell_1104,0.103566885
cell_1105,0.10770006
cell_1106,0.08643379
cell_1107,0.08659719
cell_1108,0.08351919
cell_1109,0.08451231599999999
cell_1110,0.07782473
cell_1111,0.10728799
cell_1112,0.107274145
cell_1113,0.10954929999999999
cell_1114,0.108051665
cell_1115,0.113375925
cell_1116,0.12303565
cell_1117,0.12751454
cell_1118,0.121764205
cell_1119,0.13593195
cell_1120,0.1301889
cell_1121,0.1259541
cell_1122,0.06848763
cell_1123,0.06838772
cell_1124,0.06762639999999999
cell_1125,0.067121945
cell_1126,0.065764934
cell_1127,0.06567482
cell_1128,0.06430654
cell_1129,0.06347841
cell_1130,0.06286169
cell_1131,0.065587044
cell_1132,0.13484177
cell_1133,0.13266619
cell_1134,0.117740944
cell_1135,0.11840592
cell_1136,0.118269406
cell_1137,0.10571008
cell_1138,0.09142098
cell_1139,0.10726879
cell_1140,0.10039358599999999
cell_1141,0.09860918
cell_1142,0.15019147
cell_1143,0.15483093
cell_1144,0.14242296
cell_1145,0.14105324
cell_1146,0.13290437
cell_1147,0.14060952
cell_1148,0.13568586
cell_1149,0.13160726
cell_1150,0.1298355
cell_1151,0.12891409
cell_1152,0.04625758
cell_1153,0.054393288
cell_1154,0.11807971
cell_1155,0.118826725
cell_1156,0.14730193
cell_1157,0.143067
cell_1158,0.13127531
cell_1159,0.12699814
cell_1160,0.12684305
cell_1161,0.12021641
cell_1162,0.12069737
cell_1163,0.119612366
cell_1164,0.11218497
cell_1165,0.10831677
cell_1166,0.09711319
cell_1167,0.07058187
cell_1168,0.064060375
cell_1169,0.064202085
cell_1170,0.062232986
cell_1171,0.058862314000000006
cell_1172,0.6096454000000001
cell_1173,0.59183073
cell_1174,0.5885645
cell_1175,0.5695925000000001
cell_1176,0.56261164
cell_1177,0.53953385
cell_1178,0.5678605
cell_1179,0.59542656
cell_1180,0.60818404
cell_1181,0.5832685999999999
cell_1182,0.10384180000000001
cell_1183,0.09379827
cell_1184,0.054085272999999996
cell_1185,0.05387056
cell_1186,0.025149306
cell_1187,0.021342648
cell_1188,0.013000336999999999
cell_1189,0.021674883
cell_1190,0.03160956
cell_1191,0.045504447
cell_1192,0.07707439
cell_1193,0.08372884
cell_1194,0.08450397
cell_1195,0.10042341
cell_1196,0.099445276
cell_1197,0.10858349
cell_1198,0.11363923
cell_1199,0.120541774
cell_1200,0.12109287
cell_1201,0.12896936
cell_1202,0.104484916
cell_1203,0.102580115
cell_1204,0.10076558
cell_1205,0.10593372
cell_1206,0.10128731
cell_1207,0.122445844
cell_1208,0.12337957
cell_1209,0.14679678
cell_1210,0.14953004
cell_1211,0.14764725
cell_1212,0.08450896
cell_1213,0.0899063
cell_1214,0.093132995
