,Time
cell_1419,0.8480601000000001
cell_1420,0.9718981
cell_1421,0.9671420000000001
cell_1422,0.7941249
cell_1423,0.7487351999999999
cell_1427,0.8098970999999999
cell_1433,0.9602908000000001
cell_1434,0.775361
cell_1437,0.79708165
cell_1442,0.95975244
cell_1444,0.9115211999999999
cell_1447,0.9731168
cell_1453,0.9571648000000001
cell_1455,0.8083541
cell_1456,0.93005043
cell_1462,0.8677403
cell_1463,0.84924865
cell_1465,0.88989043
cell_1472,0.9428645
cell_1473,0.8698020000000001
cell_1477,0.8150058000000001
cell_1481,0.87441456
cell_1483,0.97370833
cell_1484,0.77051693
cell_1486,0.8444634
cell_1487,0.8665134
cell_1494,0.8686792
cell_1495,0.8524710999999999
cell_1497,0.8204374
cell_1499,0.93214303
cell_1500,0.8721148000000001
cell_1504,0.9292722
cell_1505,0.91796136
cell_1506,0.80558306
cell_1510,0.92625207
cell_1513,0.73442775
cell_1515,0.91820604
cell_1519,0.8903039
cell_1520,0.9320864999999999
cell_1522,0.82962364
cell_1523,0.92658097
cell_1525,0.8542059000000001
cell_1526,0.79233515
cell_1527,0.84747905
cell_1528,0.7658630999999999
cell_1529,0.86462104
cell_1532,0.8900734
cell_1534,0.9314763
cell_1538,0.9538254999999999
cell_1541,0.8231333000000001
cell_1542,0.8291582000000001
cell_1545,0.87772864
cell_1556,0.8816075999999999
cell_1558,0.8164760999999999
cell_1560,0.7995943
cell_1562,0.8909296
cell_1566,0.91279376
cell_1567,0.7684612
cell_1571,0.9217443000000001
cell_1572,0.79891163
cell_1573,0.787669
cell_1579,0.81539583
cell_1582,0.8125425999999999
cell_1583,0.79082596
cell_1591,0.92400837
cell_1592,0.9626514000000002
cell_1598,0.94796175
cell_1610,0.8067052
cell_1611,0.7879095
cell_1612,0.8806323
cell_1613,0.9205204
cell_1615,0.8507646999999999
cell_1621,0.9465210999999999
cell_1625,0.822717
cell_1630,0.8834812
cell_1632,0.9501863000000002
cell_1639,0.9407847
cell_1640,0.95997566
cell_1643,0.91328627
cell_1648,0.7908356
cell_1649,0.82037115
cell_1656,0.82766867
cell_1662,0.8282729
cell_1664,0.8557528
cell_1668,0.93177503
cell_1671,0.9168361999999999
cell_1676,0.9302524999999999
cell_1678,0.8371636999999998
cell_1679,0.88933355
cell_1680,0.9875546999999999
cell_1685,0.7959769
cell_1686,0.9671759
cell_1687,0.93152034
cell_1693,0.9460801999999999
cell_1694,0.86680406
cell_1696,0.9225141
cell_1697,0.8444058000000001
cell_1698,0.8394881999999999
cell_1703,0.8504259
cell_1704,0.878376
cell_1706,0.90679556
cell_1722,0.93646306
cell_1728,0.8242115
cell_1740,0.93598115
cell_1742,0.8902652
cell_1744,0.9562905
cell_1752,0.7906229
cell_1754,0.86219674
cell_1755,0.8815122
cell_1756,0.8722469
cell_1758,0.8077615
cell_1759,0.9076273000000001
cell_1761,0.8635625
cell_1764,0.8062288000000001
cell_1767,0.8916181999999999
cell_1770,0.91260093
cell_1773,0.9084508
cell_1776,0.8798341000000001
cell_1778,0.86293334
cell_1782,0.94453406
cell_1784,0.94290584
cell_1785,0.95640326
cell_1792,0.9994129
cell_1794,0.9373992
cell_1796,0.94017166
cell_1797,0.76531625
cell_1802,0.8600338
cell_1803,0.84907657
cell_1804,0.83836794
cell_1811,0.83095616
cell_1813,0.83994114
cell_1814,0.81138366
cell_1821,0.91721463
cell_1824,0.93937874
cell_1834,0.83839446
cell_1835,0.8358764999999999
cell_1841,0.9132484000000001
cell_1842,0.8340019000000001
cell_1847,0.78348136
cell_1848,0.9510890999999999
cell_1849,0.80459744
cell_1855,0.9353834999999999
cell_1857,0.90265834
cell_1859,0.9031068000000001
cell_1860,0.91323346
cell_1868,0.8411844999999999
cell_1869,0.8848659999999999
cell_1872,0.9326802
cell_1875,0.93354976
cell_1876,0.77606684
cell_1879,0.8381678
cell_1880,0.83132136
cell_1881,0.7452694999999999
cell_1882,0.84815
cell_1883,0.78536403
cell_1885,0.9272693000000001
cell_1886,0.9502879000000001
cell_1889,0.74159557
cell_1890,0.8810943000000001
cell_1894,0.86156756
cell_1895,0.8968805000000001
cell_1896,0.9069476000000001
cell_1901,0.8211065999999999
cell_1904,0.81660926
cell_1910,0.86394054
cell_1911,0.868058
cell_1912,0.88658535
cell_1915,0.98049647
cell_1919,0.90476835
cell_1920,0.8508466999999998
cell_1927,0.8347581000000001
cell_1931,0.7909621
cell_1936,0.91129637
cell_1937,0.8727699000000001
cell_1939,0.9323763
cell_1940,0.8953703000000002
cell_1941,0.9640864
cell_1943,0.805012
cell_1957,0.8230835999999999
cell_1958,0.92042136
cell_1959,0.8514620999999999
cell_1960,0.9355722
cell_1965,0.9229265999999999
cell_1967,0.8054809
cell_1979,0.8778649
cell_1982,0.8167206
cell_1985,0.8064566999999999
cell_1987,0.8502605999999999
cell_1988,0.949627
cell_1996,0.91793984
cell_1997,0.8896115
cell_1998,0.9207525
