,T,s,S,R3,z,Z,R2,E,N
cell_286,True,False,True,True,True,True,True,False,True
cell_287,True,False,True,True,True,True,False,False,True
cell_289,True,False,True,True,False,True,False,False,True
cell_294,False,False,False,True,False,False,True,True,False
cell_296,False,True,False,True,False,False,True,False,False
cell_297,False,True,False,False,False,False,True,True,False
cell_304,True,False,True,False,False,False,False,True,False
cell_307,True,True,True,False,False,False,False,True,False
cell_308,True,True,True,False,True,False,False,True,False
cell_310,True,False,True,False,True,False,False,False,False
cell_311,True,False,True,False,True,False,False,True,False
cell_313,False,True,True,True,True,False,False,True,False
cell_314,True,True,True,False,True,True,False,True,False
cell_315,True,False,True,False,True,True,True,True,False
cell_316,True,False,True,True,True,True,False,True,False
cell_320,True,False,True,True,True,True,False,False,False
cell_321,True,False,True,False,True,True,False,False,False
cell_324,False,True,True,True,False,True,True,False,False
cell_328,False,True,True,True,False,True,True,True,False
cell_329,False,True,True,True,True,True,True,True,False
cell_334,True,False,False,True,False,False,False,False,False
cell_343,True,False,False,True,False,False,False,True,False
cell_344,True,True,True,True,True,True,True,False,True
cell_348,True,True,True,True,False,True,True,False,True
cell_350,True,True,True,True,False,False,True,False,True
cell_354,True,True,True,False,False,True,True,False,True
cell_356,True,True,True,True,False,True,False,False,True
cell_357,True,False,True,False,False,True,False,False,True
cell_359,True,False,True,False,True,True,False,True,True
cell_365,True,True,True,False,True,True,True,False,False
cell_366,True,True,True,True,True,True,True,True,False
cell_367,True,True,True,False,False,True,True,False,False
cell_369,True,True,False,False,True,True,True,True,False
cell_374,True,True,False,True,True,False,False,False,False
cell_375,True,True,False,True,True,True,False,False,False
cell_378,True,True,False,True,True,True,True,False,False
cell_380,True,True,False,False,True,True,False,False,False
cell_384,True,True,False,True,True,False,True,False,True
cell_385,True,True,False,False,False,False,True,True,True
cell_390,True,True,False,False,False,False,False,True,True
cell_393,True,False,False,False,False,False,True,True,True
cell_394,True,True,True,False,True,False,True,False,False
cell_395,True,False,True,True,False,False,False,False,False
cell_397,True,False,True,True,True,False,True,True,False
cell_398,True,True,True,True,True,False,False,True,False
cell_401,True,True,True,True,True,True,True,False,False
cell_402,True,True,False,True,False,True,True,False,True
cell_404,False,True,False,False,True,True,True,False,False
cell_406,False,True,False,True,True,True,False,False,False
cell_409,False,False,False,False,True,True,True,False,False
cell_410,False,False,False,True,True,True,True,False,False
cell_415,True,True,False,False,True,False,False,True,True
cell_416,True,False,False,False,False,False,False,True,True
cell_417,True,False,False,True,True,False,False,False,True
cell_420,True,False,False,True,False,False,True,False,True
cell_421,True,False,False,True,True,False,True,True,True
cell_422,True,False,False,True,False,False,True,True,True
cell_425,False,False,True,False,False,True,False,False,True
cell_427,False,True,True,True,True,True,False,False,True
cell_428,False,True,True,False,False,True,False,False,True
cell_431,False,True,True,False,False,True,True,False,True
cell_432,False,False,True,False,False,True,True,False,True
cell_433,False,False,True,False,True,True,True,False,True
cell_434,False,False,True,False,True,False,True,False,True
cell_435,True,True,False,True,False,False,True,True,False
cell_437,True,True,False,True,False,False,False,True,False
cell_440,True,False,False,False,False,False,False,True,False
cell_448,True,True,False,False,False,True,False,False,False
cell_449,True,False,False,False,False,True,False,True,False
cell_451,True,True,False,False,False,True,False,True,False
cell_457,False,True,False,False,False,False,True,False,False
cell_464,False,False,False,False,False,False,False,False,False
cell_469,False,True,True,True,False,False,True,True,False
cell_474,False,False,True,True,True,False,False,False,False
cell_476,True,False,True,True,False,False,True,True,False
cell_479,True,True,True,True,False,False,False,True,False
cell_480,True,True,True,True,False,False,False,False,False
cell_482,True,True,False,True,False,False,False,False,False
cell_486,True,True,False,False,True,False,True,False,True
cell_488,True,False,False,False,False,False,True,False,True
cell_489,False,True,False,False,False,False,True,False,True
cell_490,False,False,False,False,False,False,True,False,True
cell_492,False,False,False,True,False,False,True,False,True
cell_495,False,False,False,False,False,True,True,True,True
cell_497,False,True,False,False,False,True,True,True,True
cell_498,False,False,False,False,False,True,True,False,True
cell_505,True,False,False,False,True,True,True,True,True
cell_506,True,False,False,True,True,True,True,True,True
cell_508,True,False,False,True,True,True,False,True,True
cell_511,True,True,False,False,True,True,False,False,True
cell_512,True,False,False,False,True,True,False,True,True
cell_516,True,True,True,True,False,False,False,False,True
cell_519,True,False,True,True,False,False,True,False,True
cell_521,True,False,True,False,False,False,True,False,True
cell_522,True,False,True,False,False,False,False,True,True
cell_524,True,False,True,False,False,False,False,False,True
cell_527,False,False,True,True,False,True,True,False,True
cell_528,True,False,True,True,True,True,True,False,False
cell_532,False,True,False,False,False,True,True,False,False
cell_533,False,True,False,False,False,True,True,False,True
cell_536,False,False,True,False,False,True,False,True,True
cell_537,False,False,True,True,False,True,False,True,True
cell_538,False,False,True,False,True,True,False,True,True
cell_539,False,False,True,True,True,True,False,True,True
cell_540,False,False,True,True,True,True,True,True,True
cell_541,False,False,True,True,False,True,True,True,True
cell_549,True,True,True,True,True,False,True,False,True
cell_556,True,False,False,True,False,True,True,False,False
cell_558,True,False,False,True,True,True,True,False,False
cell_560,True,False,False,False,False,True,True,False,False
cell_564,True,True,False,False,False,True,True,True,False
cell_566,False,True,False,False,True,True,False,True,False
cell_567,False,True,False,False,False,True,False,True,True
cell_569,False,True,False,False,False,True,False,True,False
cell_570,False,True,False,False,True,True,False,True,True
cell_578,True,False,False,True,False,True,True,True,False
cell_580,True,False,False,True,False,True,False,True,False
cell_587,False,True,False,True,False,True,True,False,True
cell_588,False,False,False,True,False,True,False,True,True
cell_589,False,False,False,True,False,True,True,True,True
cell_590,False,False,False,True,False,True,True,False,True
cell_600,False,True,False,False,False,True,False,False,False
cell_601,False,True,False,True,False,True,False,False,False
cell_603,False,True,False,True,True,True,False,True,False
cell_606,False,True,True,False,True,False,True,True,True
cell_614,False,True,True,True,True,True,True,True,True
cell_617,True,False,True,True,False,True,True,True,True
cell_624,True,False,True,False,False,True,False,True,True
cell_627,True,True,True,True,True,False,False,True,True
cell_629,True,False,True,True,True,False,False,False,True
cell_632,True,False,False,True,False,False,False,False,True
cell_646,True,True,True,False,False,False,False,False,False
cell_656,True,False,False,False,True,False,False,True,True
cell_657,False,True,False,False,False,False,False,False,False
cell_677,True,False,True,True,False,True,True,False,False
cell_678,True,True,True,True,False,True,True,False,False
cell_680,True,False,False,False,False,True,False,False,False
cell_692,False,False,False,False,True,True,False,False,True
cell_693,False,False,False,False,False,True,False,False,True
cell_698,False,True,False,True,False,True,False,True,True
cell_699,False,True,False,True,False,True,False,False,True
cell_702,False,True,False,True,False,False,True,False,True
cell_708,True,True,False,True,False,False,True,True,True
cell_711,True,True,False,True,False,False,True,False,True
cell_724,True,True,False,True,False,False,False,True,True
cell_728,True,False,True,False,False,True,False,False,False
cell_729,True,True,True,True,False,True,False,True,False
cell_730,True,True,True,True,False,True,False,False,False
cell_732,True,True,True,True,True,True,False,True,False
cell_737,True,True,True,True,True,False,True,False,False
cell_738,False,False,True,True,False,False,False,True,False
cell_739,False,True,True,False,False,False,True,True,False
cell_750,True,False,True,True,True,True,False,True,True
cell_753,True,False,True,False,True,True,False,False,True
cell_759,False,False,False,False,True,False,True,True,False
cell_766,False,True,False,True,True,False,True,False,False
cell_769,True,True,False,False,True,True,True,True,True
cell_772,True,True,False,False,False,True,True,True,True
cell_776,True,True,False,False,True,True,True,False,True
cell_780,False,True,False,True,False,False,False,True,True
cell_792,True,True,True,False,False,True,False,True,True
cell_798,False,False,False,False,True,False,False,True,True
cell_799,False,True,False,False,True,False,False,True,True
cell_800,False,True,False,True,True,False,False,True,True
cell_809,False,False,True,True,True,False,False,True,False
cell_813,False,False,True,True,False,False,False,False,False
cell_821,False,False,True,False,True,False,False,True,False
cell_824,False,False,True,False,True,False,False,False,False
cell_829,True,False,False,False,False,True,True,True,True
cell_831,True,False,False,False,False,True,False,True,True
cell_841,True,True,True,True,False,True,False,True,True
cell_849,True,False,False,True,False,False,True,False,False
cell_850,True,True,False,False,False,False,True,False,False
cell_858,True,True,False,False,False,False,False,False,False
cell_859,True,False,False,True,True,False,True,False,True
cell_861,True,False,False,False,False,True,False,False,True
cell_868,True,False,False,True,False,True,False,False,True
cell_869,False,True,True,True,True,False,True,True,True
cell_877,False,False,False,True,False,False,False,True,True
cell_882,True,True,True,True,True,True,True,True,True
cell_889,True,True,True,False,True,True,False,False,False
