,T,s,S,R3,z,Z,R2,E,N
cell_315,True,False,True,False,False,False,False,False,False
cell_316,True,False,True,True,False,False,False,False,True
cell_317,True,True,True,True,False,False,False,False,True
cell_318,True,True,True,True,False,False,False,False,False
cell_322,True,True,True,False,False,False,False,False,False
cell_323,True,True,True,False,True,False,False,False,True
cell_324,False,False,False,True,True,True,False,True,False
cell_325,False,True,False,False,True,True,True,True,False
cell_326,False,True,False,False,True,True,True,True,True
cell_328,False,True,False,False,False,True,True,True,True
cell_329,False,False,False,False,True,True,True,True,True
cell_332,True,True,True,True,True,True,True,True,True
cell_334,False,False,False,True,True,False,True,False,False
cell_335,False,False,False,True,False,True,True,False,True
cell_338,False,False,False,False,False,True,True,False,True
cell_340,True,False,False,False,False,True,True,False,False
cell_342,True,True,False,False,False,True,True,False,True
cell_344,False,True,False,True,False,False,False,True,False
cell_345,False,True,False,True,True,False,True,True,False
cell_348,False,True,False,True,True,False,False,True,False
cell_350,False,True,False,True,True,False,False,True,True
cell_352,False,True,False,True,False,False,False,True,True
cell_354,False,True,True,True,False,False,True,True,False
cell_355,False,True,True,False,True,False,False,True,False
cell_357,False,True,True,True,True,False,False,True,False
cell_360,False,False,True,True,False,True,False,True,False
cell_364,True,False,False,False,False,False,True,False,True
cell_365,True,False,True,False,False,False,True,False,True
cell_366,True,False,True,True,False,True,True,False,True
cell_367,True,False,False,True,False,True,True,False,True
cell_370,True,False,True,False,True,True,True,False,True
cell_375,False,False,False,False,False,False,False,False,False
cell_382,True,True,True,True,True,True,False,False,False
cell_383,True,False,True,True,True,True,False,False,False
cell_384,True,False,False,True,False,True,False,True,False
cell_385,True,True,False,True,True,False,False,True,False
cell_386,True,False,False,True,True,False,False,True,False
cell_387,True,False,False,True,True,False,True,True,False
cell_391,False,False,False,False,True,False,False,True,False
cell_392,False,True,False,False,False,False,False,True,False
cell_394,True,False,True,True,True,True,True,False,False
cell_395,True,True,True,True,True,True,True,False,True
cell_398,True,False,False,False,True,True,True,False,True
cell_399,True,False,False,False,True,True,True,False,False
cell_406,False,True,False,False,False,False,False,True,True
cell_407,False,False,False,True,True,False,False,True,True
cell_408,False,False,False,True,True,False,False,False,True
cell_411,False,False,False,True,False,False,True,False,True
cell_412,False,True,False,True,False,True,True,False,True
cell_413,False,True,False,False,False,True,True,False,True
cell_415,True,False,False,False,True,False,True,True,False
cell_419,True,False,True,False,False,False,False,True,False
cell_420,True,False,True,False,True,True,True,True,False
cell_423,True,False,False,False,False,True,False,True,False
cell_424,True,False,False,False,True,True,False,True,False
cell_430,True,True,True,False,True,True,False,True,False
cell_433,True,False,True,False,True,True,False,True,False
cell_436,True,False,True,False,False,True,True,True,False
cell_443,False,True,False,True,True,True,False,True,True
cell_447,False,True,False,False,False,False,True,False,True
cell_448,False,True,True,False,False,False,True,False,True
cell_454,False,True,True,True,True,True,True,False,False
cell_457,True,True,True,False,True,False,False,True,False
cell_463,True,False,True,False,False,True,False,True,True
cell_464,True,False,True,True,False,True,False,True,True
cell_471,True,True,False,True,False,False,True,True,False
cell_474,True,True,True,True,True,False,False,True,False
cell_475,False,True,True,False,True,False,True,True,False
cell_478,False,True,False,True,False,False,True,True,False
cell_480,False,True,False,True,False,False,True,True,True
cell_484,False,True,False,False,True,False,True,True,False
cell_485,False,False,True,False,False,False,False,True,True
cell_486,False,False,False,False,True,False,True,True,True
cell_494,False,False,False,True,False,False,False,True,True
cell_495,False,True,False,True,False,False,True,False,True
cell_497,False,True,True,True,False,False,True,False,True
cell_499,True,True,True,True,False,True,True,False,True
cell_505,False,False,False,True,False,False,True,True,False
cell_506,True,False,False,True,True,False,False,True,True
cell_507,True,False,True,True,True,False,False,True,True
cell_517,False,True,False,True,False,True,True,True,False
cell_521,False,True,True,True,False,True,False,True,False
cell_524,False,True,True,True,True,False,True,True,False
cell_537,False,True,True,True,False,False,False,True,False
cell_540,True,True,True,False,False,True,False,True,False
cell_543,False,True,True,True,True,True,False,True,True
cell_544,True,True,True,False,False,True,False,True,True
cell_560,True,False,False,False,True,False,False,True,False
cell_568,True,True,False,False,False,True,False,True,False
cell_571,True,True,True,True,False,True,False,True,False
cell_572,True,True,False,True,False,True,False,True,False
cell_573,True,True,False,True,False,True,True,True,False
cell_576,True,False,False,True,False,False,True,False,False
cell_578,True,False,False,False,True,False,False,False,False
cell_583,True,True,False,True,True,False,False,False,False
cell_585,True,False,True,True,True,False,False,False,False
cell_586,True,False,False,True,False,True,True,True,False
cell_588,True,True,True,True,False,True,False,True,True
cell_589,True,True,True,True,False,True,True,True,False
cell_599,True,False,False,True,False,True,False,True,True
cell_600,True,True,False,False,False,True,False,True,True
cell_603,True,False,False,False,True,True,False,True,True
cell_604,True,True,False,True,True,False,False,True,True
cell_605,True,False,False,True,True,True,False,True,True
cell_607,False,False,True,False,False,False,True,True,True
cell_610,False,False,True,False,True,False,True,True,True
cell_614,False,True,True,False,True,False,True,True,True
cell_619,False,True,False,True,False,True,False,True,False
cell_622,False,False,True,False,True,False,False,True,True
cell_626,True,False,False,False,True,False,False,True,True
cell_637,False,True,False,True,True,False,False,False,True
cell_638,False,True,False,True,True,False,True,False,True
cell_645,False,True,True,True,True,True,False,False,True
cell_653,True,False,True,True,True,False,True,False,False
cell_662,True,True,True,False,True,True,True,True,True
cell_666,True,True,True,False,True,False,True,True,True
cell_667,False,False,False,True,True,False,True,True,False
cell_668,True,False,False,False,True,False,True,True,True
cell_669,False,False,False,False,True,True,False,True,False
cell_674,False,False,False,False,False,True,True,True,True
cell_675,False,False,False,False,False,False,False,True,False
cell_676,False,True,False,False,True,False,False,True,False
cell_678,False,True,False,False,False,True,False,False,False
cell_681,False,False,False,False,True,True,False,False,False
cell_682,False,False,True,False,True,True,False,False,False
cell_684,False,False,True,True,True,True,False,False,False
cell_686,False,False,False,True,True,True,False,False,False
cell_687,True,False,True,True,True,True,False,False,True
cell_689,False,False,True,False,True,True,False,True,True
cell_701,True,True,True,False,False,True,True,False,True
cell_705,True,True,True,False,True,True,False,False,True
cell_708,False,False,True,False,False,False,True,True,False
cell_710,False,True,True,False,False,True,False,True,True
cell_712,False,True,True,False,False,False,False,True,True
cell_714,False,True,True,False,False,False,True,True,True
cell_718,False,True,True,True,True,False,True,False,True
cell_722,False,True,True,False,False,True,True,False,True
cell_724,False,False,True,True,False,True,True,False,True
cell_726,False,False,False,True,True,True,True,False,True
cell_728,True,False,False,False,True,False,False,False,True
cell_729,True,False,False,True,False,True,False,False,True
cell_731,True,False,False,True,False,True,False,False,False
cell_733,True,False,False,False,False,True,False,False,False
cell_738,True,False,False,True,False,False,False,False,True
cell_739,True,False,False,False,False,True,False,False,True
cell_750,False,True,True,False,True,False,False,False,True
cell_755,True,False,True,True,True,True,True,False,True
cell_759,True,False,False,False,False,False,False,False,True
cell_761,True,False,False,True,True,False,False,False,True
cell_763,True,False,False,True,True,False,True,False,False
cell_766,True,False,True,True,False,False,True,False,False
cell_768,False,False,True,True,False,True,True,False,False
cell_769,False,False,True,False,False,False,True,False,False
cell_770,False,True,True,True,False,False,True,False,False
cell_771,False,True,True,False,False,False,True,False,False
cell_787,False,False,False,True,True,True,True,True,False
cell_790,True,True,False,False,True,False,True,False,False
cell_792,True,True,False,False,True,False,True,False,True
cell_794,False,True,False,False,True,False,True,False,True
cell_803,True,False,True,True,False,False,True,False,True
cell_807,True,False,False,True,True,True,True,False,False
cell_809,False,False,False,False,True,True,False,True,True
cell_823,False,False,False,False,False,True,True,False,False
cell_824,False,False,False,False,True,True,True,False,False
cell_826,False,False,False,False,True,False,True,False,True
cell_830,False,True,True,False,True,True,False,False,False
cell_831,True,True,True,False,True,True,True,False,False
cell_835,True,False,False,True,True,True,True,False,True
cell_836,True,True,False,True,True,True,True,False,True
cell_838,True,False,False,True,True,False,True,False,True
cell_840,True,False,False,False,False,True,False,True,True
cell_841,True,False,False,True,False,True,True,True,True
cell_845,False,False,True,True,True,True,True,True,True
cell_848,True,False,True,True,True,True,False,True,True
cell_849,False,False,False,False,False,True,False,False,True
cell_852,False,False,False,False,False,False,False,False,True
cell_858,False,False,False,True,False,False,False,False,False
cell_874,True,False,True,False,True,False,True,True,True
cell_878,True,False,True,True,False,True,False,False,False
cell_880,False,False,True,False,False,True,True,True,True
cell_883,False,True,True,False,False,False,True,True,False
cell_887,True,True,True,True,True,True,False,True,False
cell_903,False,False,False,True,False,True,True,False,False
cell_904,False,False,False,False,True,False,True,False,False
cell_905,False,False,False,False,False,False,True,False,False
cell_908,False,True,False,False,True,False,True,False,False
cell_913,True,True,True,False,True,False,True,True,False
cell_924,True,False,False,True,False,True,True,False,False
